kind,address,name,file,line,votes,detail
conflict,00407269,FUN_00407269,,,36,{dxC_CreateRTV=1; dxC_SetIndices=1; dxC_UnmapTexture=2; sViewerProcessVisibleMesh=1; sCreateRT=1; sMakeTexture=3; dxC_SetStreamSource=1; sViewerLazyUpdateMesh=1; dxC_CreateVertexBuffer=1; dx9_EffectSetMatrix=2; dxC_CreateDSV=1; dxC_SetVertexDeclaration=1; dxC_EffectBeginPass=2; dxC_GetRenderTargetViewDesc=1; e_GetModelRenderAABBCenterInObject=1; dxC_GetDevice=1; e_LoadNonStateScreenEffects=1; dxC_SetTechnique=1; sGetDefaultCompressedPacket=1; dxC_DrawQuad=1; e_OptionState_SaveToFile=1; e_WardrobeModelFileUpdate=1; sGetCenterAndNormal=1; dxC_EffectGetTechniqueByFeatures=1; dxC_OcclusionQueryCreate=1; dxC_DrawPrimitive=1; dx9_SetFVF=1; dxC_SetTexture=1; GetStopIndex=1; dx9_EffectSetVector=1; dxC_GetDepthStencilViewDesc=1}
callee-kept,00781652,dx9_EffectSetVectorArray (dx9_EffectSetVectorArray),,,19/19,"from 00783887: dx9_EffectSetVectorArray( pEffect; tTechnique; EFFECT_PARAM_HEMI_LIGHT_COLORS; (D3DXVECTOR4*)vColors; 2 )"
callee-kept,007aee54,sUIEngineBufferFreeVertexBuffers (sUIEngineBufferFreeVertexBuffers),,,4/4,"from 007aee96: sUIEngineBufferFreeVertexBuffers(engine)"
callee-kept,00785656,dxC_VertexBufferPreload (dxC_VertexBufferPreload),,,3/3,"from 00785775: dxC_VertexBufferPreload( gtScreenCoverVertexBufferDef.nD3DBufferID[ 0 ] )"
callee-kept,007d964d,RenderToTexture (RenderToTexture),,,2/2,"from 007d8edc: RenderToTexture( pEffect; *ptTechnique )"
callee-kept,0078da4a,sCreateMeshBoundingBoxes (sCreateMeshBoundingBoxes),,,1/1,"from 0078dc57: sCreateMeshBoundingBoxes( pModel )"
callee-kept,00785a4a,RestoreEffect (RestoreEffect),,,3/3,"from 00785b92: RestoreEffect( nScreenEffectDef )"
callee-kept,007d264e,dxC_SetViewport (dxC_SetViewport),,,4/4,"from 007b3b50: dxC_SetViewport( DWORD( pCommand->bBox.vMin.fX ); DWORD( pCommand->bBox.vMin.fY ); DWORD( pCommand->bBox.vMax.fX - pCommand->bBox.vMin.fX ); DWORD( pCommand->bBox.vMax.fY - pCommand->bBox.vMin.fY ); pCommand->bBox.vMin.fZ; pCommand->bBox.vMax.fZ )"
callee-kept,00774644,e_AnimatedModelDefinitionClear (e_AnimatedModelDefinitionClear),,,2/2,"from 004d0594: e_AnimatedModelDefinitionClear( nModelDefinitionId; tCostume.nLOD )"
callee-kept,0079aa4d,dxC_Create2DSysMemTextureFromFileInMemory (dxC_Create2DSysMemTextureFromFileInMemory),,,1/1,"from 0079d57b: dxC_Create2DSysMemTextureFromFileInMemory( pTexture->pbLocalTextureFile; pTexture->nTextureFileSize; nWidth; nHeight; nMipLevels; dwMIPDown; nD3DFormat; &tImageInfo; pTexture->ptSysmemTexture; pPool )"
